Title: Temperature and Distance Dependence of Tidal Circularization in Close 
       Binaries: A Catalog of Eclipsing Binaries in the Southern Hemisphere 
       Observed by the TESS Satellite.  
Authors: Justesen A.B., Albrecht S. 
Table: Orbital Parameters of TESS Eclipsing Binaries
================================================================================
Byte-by-byte Description of file: apjabefcdt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  9 I9     ---   TIC    TESS Input Catalog ID
  11- 25 E15.9  d     P      Orbital period
  27- 41 E15.9  ---   t1     Time of primary eclipse (1)
  43- 57 E15.9  ---   t2     Time of secondary eclipse (1)
  59- 73 E15.9  ---   ecosw  Eccentricity times cos(longitude of periastron) 
  75- 89 E15.9  ---   d1     Depth of primary eclipse
  91-105 E15.9  ---   d2     Depth of secondary eclipse
 107-121 E15.9  mag   Tmag   TESS apparent magnitude
--------------------------------------------------------------------------------
Note (1): TESS Barycentric Julian Date (BJD - 2457000).
--------------------------------------------------------------------------------
270166263 1.531314701e+01 1.332506085e+03 1.327303380e+03 2.480414366e-01 1.168810920e-01 1.409693613e-02 9.872310000e+00 
 33862174 1.414530246e+00 1.326079052e+03 1.325372602e+03 9.048445742e-04 4.654868310e-01 1.336356539e-01 1.172750000e+01 
142466957 1.137535784e+00 1.491831756e+03 1.492397706e+03 3.890684086e-03 1.508714325e-02 1.341019559e-02 1.456830000e+01 
 13957444 3.740445189e+00 1.441438803e+03 1.443245530e+03 2.646361546e-02 8.511751816e-02 1.414276959e-02 8.280700000e+00 
309528896 1.895677065e+00 1.601292547e+03 1.600345284e+03 4.770164428e-04 4.796343314e-01 1.529499802e-01 8.942000000e+00 
349518145 4.139918217e+00 1.468332765e+03 1.469974817e+03 1.133512090e-01 3.428208505e-02 2.969105831e-02 1.260170000e+01 
131170090 1.851006906e+00 1.625836834e+03 1.624911365e+03 2.882265562e-05 4.207242636e-02 3.927596285e-02 9.697000000e+00 
415434817 1.662157072e+00 1.518389108e+03 1.519220156e+03 2.889385798e-05 4.032297209e-01 4.038321331e-01 1.005510000e+01 
144539611 3.981055072e+00 1.412191686e+03 1.414181990e+03 8.842988905e-05 2.695596918e-01 2.161413415e-01 8.093400000e+00 
301160638 1.600953665e+01 1.626490927e+03 1.620188011e+03 1.674002603e-01 1.415765517e-02 1.397367377e-02 1.018620000e+01 
319936228 9.646302480e+00 1.604882446e+03 1.608852277e+03 1.393875456e-01 7.951095726e-02 2.680708203e-02 7.046400000e+00 
168674931 9.013815257e-01 1.438496275e+03 1.438946832e+03 2.336351068e-04 3.628645529e-01 1.289887672e-01 8.268240000e+00 
278683641 4.241829660e+00 1.519921280e+03 1.517800489e+03 4.563680883e-05 1.400779838e-01 1.615187147e-02 9.540200000e+00 
 54001270 2.349199509e+00 1.326675315e+03 1.327849894e+03 1.359001719e-05 8.788618264e-01 1.152751711e-01 1.061420000e+01 
103683084 3.057036886e+00 1.571098394e+03 1.569570116e+03 1.232147483e-04 3.831374979e-01 1.849382604e-01 9.943000000e+00 
300903537 5.823166435e+00 1.326646232e+03 1.329557163e+03 1.757815526e-04 9.118704813e-02 1.741686038e-02 1.229950000e+01 
150361911 2.493851940e+00 1.600407848e+03 1.599160926e+03 2.528948275e-06 2.296333453e-01 2.143881053e-01 1.216310000e+01 
 66563761 3.405095330e+00 1.470233542e+03 1.468537647e+03 3.068046950e-03 2.997490251e-01 2.444380308e-01 5.933600000e+00 
349480507 3.124039769e+00 1.492979683e+03 1.491417692e+03 1.450453126e-05 3.728738223e-01 3.719230036e-01 9.396000000e+00 
102978235 3.684570253e+00 1.546493888e+03 1.544653997e+03 1.020774572e-03 3.194712028e-02 1.468122588e-02 1.150180000e+01 
158150633 4.156381713e+00 1.547468556e+03 1.549545500e+03 4.709939668e-04 1.490425576e-01 1.050072758e-01 1.209850000e+01 
437322147 1.061764812e+01 1.578714431e+03 1.573868710e+03 6.834449516e-02 1.277514047e-01 5.604464572e-02 1.510670000e+01 
464422047 2.748402928e+00 1.656150256e+03 1.654777356e+03 7.434225387e-04 1.649382651e-01 3.626243073e-02 7.256100000e+00 
311925584 7.291998747e+00 1.391372019e+03 1.387726457e+03 9.416282433e-05 1.483662884e-02 5.630874245e-03 1.218210000e+01 
